# iteration objective gradient_norm
206 4.695459516772701136e+03 4.050733758753305210e+03
207 4.674852992099687981e+03 4.030724392276064464e+03
208 4.654446995547160441e+03 4.011652804100135654e+03
209 4.634232435586518477e+03 3.993319423678315616e+03
210 4.614201535336448615e+03 3.974631595506722078e+03
211 4.594361760406651229e+03 3.954944088192531126e+03
212 4.574715805723053563e+03 3.936225288848194850e+03
213 4.555256502461868877e+03 3.917268828642594599e+03
214 4.535983182794986533e+03 3.898840353022862018e+03
215 4.516890075398904628e+03 3.880310473060014374e+03
216 4.497981164658588568e+03 3.860905233511093684e+03
217 4.479262176750989966e+03 3.840836687805555812e+03
218 4.460737146749721433e+03 3.821117314392527987e+03
219 4.442402271440832010e+03 3.800945362079100960e+03
220 4.424264732340771843e+03 3.779126569688422933e+03
221 4.406338390478819747e+03 3.756340347879816363e+03
222 4.388625529492696842e+03 3.734561172876816727e+03
223 4.371116911028228060e+03 3.713241486562870250e+03
224 4.353804984993498692e+03 3.693271980774226904e+03
225 4.336676724197332987e+03 3.673794527650850341e+03
226 4.319732762001781339e+03 3.652761075350484589e+03
227 4.302982772804464730e+03 3.631844628705086507e+03
228 4.286423163711540838e+03 3.611339207706260368e+03
229 4.270049551172537576e+03 3.591205902215552669e+03
230 4.253857562932017572e+03 3.571424121003078199e+03
231 4.237842549016811972e+03 3.551900450392347011e+03
232 4.222004711143010354e+03 3.531468349311469410e+03
233 4.206348594008911277e+03 3.511371050521318921e+03
234 4.190868149843446190e+03 3.492187527547388072e+03
235 4.175553198225405140e+03 3.474633620129813607e+03
236 4.160391722539308830e+03 3.457108917859770372e+03
237 4.145381479684603619e+03 3.440240316553887624e+03
238 4.130517974415600293e+03 3.423343442391162625e+03
239 4.115798360914041950e+03 3.407113770808216486e+03
240 4.101218805745153986e+03 3.390264420460044221e+03
241 4.086783822039553343e+03 3.373719519759183186e+03
242 4.072487789236934987e+03 3.357800643001628941e+03
243 4.058327055041572294e+03 3.341471268813146253e+03
244 4.044304473707782563e+03 3.325020022966009492e+03
245 4.030419829595009105e+03 3.308498447908780236e+03
246 4.016673136029722173e+03 3.292033609416106174e+03
247 4.003062420841401490e+03 3.275982729633380131e+03
248 3.989582394005124115e+03 3.260943828565382773e+03
249 3.976223955047128584e+03 3.246554147339579231e+03
250 3.962983329929713364e+03 3.232312787934722564e+03
251 3.949858529640672259e+03 3.218087438405167177e+03
252 3.936847887842003729e+03 3.204395059660992047e+03
253 3.923949287545104653e+03 3.189860973651574568e+03
254 3.911169569979243533e+03 3.174555757877510587e+03
255 3.898512192505820167e+03 3.158986952535153250e+03
256 3.885982185465182738e+03 3.141911603646169169e+03
257 3.873587596020545789e+03 3.125003400033217531e+03
258 3.861324970242547806e+03 3.108643009954099398e+03
259 3.849190084143496733e+03 3.092684317843256395e+03
260 3.837178828183640235e+03 3.076783119372620149e+03
261 3.825291156184153351e+03 3.061196114986005796e+03
262 3.813521343318557683e+03 3.046759161554857656e+03
263 3.801861764938991655e+03 3.032516556666967972e+03
264 3.790310932891130960e+03 3.018320252855270155e+03
265 3.778868140042021878e+03 3.004307904107909962e+03
266 3.767529926860373052e+03 2.991140648998198230e+03
267 3.756289388541503740e+03 2.978723115087420865e+03
268 3.745140827172758236e+03 2.966971237547105829e+03
269 3.734079065819869356e+03 2.955651056609348871e+03
270 3.723102083956284787e+03 2.944044627057147409e+03
271 3.712212782445736138e+03 2.931563434563262945e+03
272 3.701416012565167875e+03 2.919020159319602499e+03
273 3.690712003034503596e+03 2.906235158936966855e+03
274 3.680101318429297407e+03 2.893633732756187783e+03
275 3.669582291086902387e+03 2.881238930935885946e+03
276 3.659153528223430840e+03 2.868617988306113148e+03
277 3.648816381539376380e+03 2.855861569492369654e+03
278 3.638570403646140221e+03 2.843671523181396424e+03
279 3.628410952073290446e+03 2.831747926391612509e+03
280 3.618335556288661792e+03 2.820468304695555616e+03
281 3.608339872663468213e+03 2.809616725109833169e+03
282 3.598418963621901639e+03 2.799596677412205281e+03
283 3.588569549914308482e+03 2.789191477872039286e+03
284 3.578792647949780076e+03 2.779258004650320345e+03
285 3.569085073440196538e+03 2.769453014977987550e+03
286 3.559446153018200221e+03 2.759403438663400721e+03
287 3.549877294063493082e+03 2.749175198772001295e+03
288 3.540380574822126164e+03 2.738373757875686806e+03
289 3.530958100689530056e+03 2.727756551765025506e+03
290 3.521608769187993403e+03 2.717067767237294902e+03
291 3.512333767711552355e+03 2.705628809837725839e+03
292 3.503136553132355857e+03 2.694405311629328025e+03
293 3.494015464824502942e+03 2.683096709865793400e+03
294 3.484971400674477536e+03 2.671640989395841643e+03
295 3.476003910264330898e+03 2.660504011295473447e+03
296 3.467111008633564779e+03 2.649305903710058374e+03
297 3.458293268971777707e+03 2.638004500162540353e+03
298 3.449550661931004925e+03 2.626533004625697686e+03
299 3.440884670238113813e+03 2.614949371983147103e+03
300 3.432293769213392352e+03 2.604069810725976367e+03
301 3.423773873581097178e+03 2.593283495067937565e+03
302 3.415325327260503400e+03 2.581930504296536583e+03
303 3.406951545670673568e+03 2.570248026298310833e+03
304 3.398652765273438945e+03 2.558917436896692379e+03
305 3.390427522771429722e+03 2.547396675962191239e+03
306 3.382275538518035773e+03 2.536237385237502622e+03
307 3.374194291179688662e+03 2.525485210522304897e+03
308 3.366181513743169944e+03 2.514698122058371609e+03
309 3.358237386328699813e+03 2.503671594949061728e+03
310 3.350363316566963022e+03 2.492334790454929134e+03
311 3.342560661087329208e+03 2.480920848299722820e+03
312 3.334829527590775342e+03 2.469511102642917649e+03
313 3.327168743755395553e+03 2.458501100677437989e+03
314 3.319575699287529460e+03 2.447823272574191378e+03
315 3.312048059818008824e+03 2.437585915909278810e+03
316 3.304582194554427588e+03 2.427938832743212970e+03
317 3.297175187428694244e+03 2.418373197388318658e+03
318 3.289826438987066012e+03 2.408909844689685997e+03
319 3.282534971404422322e+03 2.399436752673344017e+03
320 3.275300529126293441e+03 2.390205260030477348e+03
321 3.268121683086917983e+03 2.381043342741491415e+03
322 3.260996985928288723e+03 2.372429256404836451e+03
323 3.253923983421311732e+03 2.363627925482451246e+03
324 3.246902999197918689e+03 2.355105694318999667e+03
325 3.239932566968711399e+03 2.346630237479866537e+03
326 3.233011485529718357e+03 2.338713166210442068e+03
327 3.226136562294228042e+03 2.331084625440504624e+03
328 3.219306301349566638e+03 2.323601680936081721e+03
329 3.212519725520735392e+03 2.316168945010009793e+03
330 3.205776941376863306e+03 2.308386634923514066e+03
331 3.199079536986814674e+03 2.300661377457204253e+03
332 3.192426921130230312e+03 2.292845326844993451e+03
333 3.185819534173806460e+03 2.285010570576647297e+03
334 3.179256809478648847e+03 2.277586036893896562e+03
335 3.172736466515848406e+03 2.270239029109087369e+03
336 3.166258236778113314e+03 2.262812558317853018e+03
337 3.159822460992745619e+03 2.255327289309605476e+03
338 3.153429285630061713e+03 2.247797692407704744e+03
339 3.147078608416140469e+03 2.240380044623314916e+03
340 3.140769716235020496e+03 2.233104298025664320e+03
341 3.134501308097378114e+03 2.226080141269506385e+03
342 3.128272216323734028e+03 2.219120308840071630e+03
343 3.122081969980264603e+03 2.212242053657572342e+03
344 3.115930002694340146e+03 2.205379854980506025e+03
345 3.109816342823115974e+03 2.198374587111724850e+03
346 3.103741584247485207e+03 2.191300587479096521e+03
347 3.097705791967947334e+03 2.184264912669224032e+03
348 3.091709051365833602e+03 2.177050432909861229e+03
349 3.085751751530374804e+03 2.170018938668483770e+03
350 3.079832443195825363e+03 2.163241722355229285e+03
351 3.073950275320899891e+03 2.156375354623140993e+03
352 3.068105046491729354e+03 2.149726735103711690e+03
353 3.062295799562466073e+03 2.143077708345566407e+03
354 3.056522752831497655e+03 2.136291745666421320e+03
355 3.050785568392620007e+03 2.129948940844143181e+03
356 3.045082413754340450e+03 2.123616267379812598e+03
357 3.039413192854640783e+03 2.117266524196204500e+03
358 3.033777727889054859e+03 2.111020590492423253e+03
359 3.028175166782905308e+03 2.105036892386769068e+03
360 3.022604229079767720e+03 2.099069920166340125e+03
361 3.017064770451512231e+03 2.093183668135024618e+03
362 3.011556613988540903e+03 2.087039262384911126e+03
363 3.006080950330214364e+03 2.080876582666174727e+03
364 3.000637361390219667e+03 2.074842236090253209e+03
365 2.995225287028577895e+03 2.068834150747742569e+03
366 2.989844528137353791e+03 2.062819909816953896e+03
